iter	Logloss
0	0.6905048458
1	0.6874534425
2	0.6848653128
3	0.6821792032
4	0.6795511454
5	0.6772226303
6	0.6746759471
7	0.6721592102
8	0.6694684361
9	0.6672165412
10	0.6652123462
11	0.6632997122
12	0.6606581265
13	0.6584180952
14	0.6563218526
15	0.6544939114
16	0.6521726184
17	0.6499142838
18	0.6479574578
19	0.6459551919
20	0.6438821509
21	0.6419474856
22	0.6401134725
23	0.6385707302
24	0.6370261115
25	0.6355597381
26	0.6341860992
27	0.632564332
28	0.630926676
29	0.6291762391
30	0.6273215553
31	0.6259952188
32	0.6244483522
33	0.6226799498
34	0.6213405713
35	0.6198172376
36	0.6183736442
37	0.6170349587
38	0.6155582874
39	0.6141835413
40	0.6128960867
41	0.6116108842
42	0.6101998367
43	0.6090581144
44	0.6078913269
45	0.6066003743
46	0.605371853
47	0.6043012205
48	0.6031341188
49	0.6018273936
50	0.6006100466
51	0.5994315227
52	0.5984530527
53	0.5975098578
54	0.596464216
55	0.595484852
56	0.5944112318
57	0.5935254727
58	0.5926183116
59	0.5917322846
60	0.5908734642
61	0.5900120014
62	0.5892846467
63	0.5885224899
64	0.5877005177
65	0.5868876807
66	0.5862012784
67	0.5854741572
68	0.5846825164
69	0.5838454036
70	0.5830995321
71	0.5823997039
72	0.5817670083
73	0.5809472078
74	0.580284878
75	0.5796532271
76	0.5789374965
77	0.5783058833
78	0.5776700962
79	0.5769954694
80	0.5763572436
81	0.5757408546
82	0.5750503635
83	0.5744701633
84	0.5738676496
85	0.573061613
86	0.5723614691
87	0.5717682869
88	0.5711650776
89	0.5706955426
90	0.5700750216
91	0.569571255
92	0.5688887153
93	0.5682718318
94	0.5678878925
95	0.5673548666
96	0.5668633621
97	0.5662663463
98	0.5657016327
99	0.5651703822
100	0.5646613877
101	0.5642686497
102	0.5639279078
103	0.5635327598
104	0.5630484482
105	0.5624833044
106	0.5620907365
107	0.5617127599
108	0.5613694344
109	0.5609033606
110	0.5605868446
111	0.5602965006
112	0.559850573
113	0.5594854828
114	0.5591491261
115	0.5587959629
116	0.5583553745
117	0.557954112
118	0.5575717842
119	0.5572157341
120	0.5568681193
121	0.5564089092
122	0.5561319462
123	0.5556412608
124	0.5552641026
125	0.5549458052
126	0.5546152037
127	0.5543383381
128	0.5540271451
129	0.5536580953
130	0.5532811775
131	0.5529605269
132	0.5526681755
133	0.5523349472
134	0.5520375131
