iter	Passed	Remaining
0	3	70819
1	7	77125
2	10	68331
3	14	72717
4	17	68416
5	21	71465
6	25	73584
7	29	73935
8	33	74438
9	37	75507
10	42	76493
11	45	75283
12	48	74645
13	53	75752
14	56	75579
15	60	75865
16	65	76653
17	68	76019
18	72	75877
19	75	75336
20	77	74201
21	81	73634
22	84	73652
23	87	72604
24	90	72086
25	93	72131
26	97	72067
27	101	72205
28	103	71443
29	106	71213
30	109	70512
31	112	70438
32	116	70521
33	120	70703
34	124	70917
35	128	71257
36	131	71209
37	134	70574
38	136	70101
39	140	69912
40	143	70030
41	147	69885
42	151	70301
43	155	70443
44	158	70420
45	162	70379
46	165	70318
47	168	69865
48	171	69922
49	175	69867
50	178	69924
51	182	69980
52	185	69834
53	190	70230
54	192	69867
55	196	70066
56	200	70294
57	204	70171
58	207	70295
59	211	70372
60	214	70276
61	219	70486
62	223	70824
63	227	70870
64	232	71152
65	236	71522
66	240	71687
67	244	71728
68	247	71391
69	250	71408
70	253	71283
71	257	71227
72	261	71274
73	265	71603
74	269	71474
75	272	71516
76	277	71702
77	280	71599
78	284	71676
79	287	71544
80	290	71417
81	293	71314
82	296	71042
83	298	70809
84	301	70748
85	304	70531
86	308	70649
87	312	70672
88	316	70710
89	320	70955
90	324	70917
91	327	70954
92	331	70897
93	334	70806
94	338	70871
95	341	70782
96	345	70894
97	349	71018
98	353	71033
99	356	70909
100	359	70911
101	362	70790
102	367	70911
103	370	70929
104	374	70885
105	377	70805
106	380	70710
107	383	70718
108	388	70841
109	392	70934
110	395	70932
111	399	70975
112	402	70901
113	405	70796
114	409	70744
115	413	70848
116	416	70793
117	420	70897
118	423	70721
119	425	70553
120	428	70469
121	433	70581
122	436	70560
123	439	70516
124	442	70384
125	445	70274
126	449	70365
127	453	70333
128	456	70339
129	460	70369
130	464	70412
131	467	70372
132	470	70286
133	474	70335
134	477	70232
135	481	70300
136	484	70252
137	488	70356
138	493	70486
139	497	70569
140	501	70663
141	504	70562
142	506	70400
143	510	70456
144	513	70323
145	516	70171
146	518	70086
147	523	70186
148	527	70220
149	531	70324
150	534	70256
151	537	70220
152	540	70163
153	544	70225
154	548	70208
155	552	70245
156	554	70140
157	559	70221
158	562	70238
159	565	70173
160	569	70202
161	572	70134
162	575	70039
163	579	70047
164	582	70074
165	586	70131
166	590	70143
167	594	70139
168	596	70016
169	599	69967
170	602	69913
171	605	69789
172	609	69834
173	613	69854
174	617	69966
175	620	69928
176	624	69934
177	627	69888
178	632	70002
179	636	70068
180	639	70071
181	642	69964
182	644	69834
183	648	69882
184	651	69813
185	655	69799
186	658	69745
187	661	69726
188	664	69692
189	668	69737
190	672	69797
191	676	69753
192	679	69774
193	683	69792
194	687	69830
195	690	69777
196	694	69827
197	698	69870
198	703	69961
199	705	69890
200	710	69949
201	714	70017
202	718	70028
203	721	69992
204	724	69952
205	728	70007
206	732	70055
207	736	70111
208	740	70159
209	744	70136
210	747	70139
211	751	70129
212	753	70031
213	757	70041
214	759	69936
215	764	70003
216	767	69992
217	771	70018
218	775	70023
219	779	70072
220	783	70079
221	786	70097
222	790	70072
223	794	70120
224	798	70193
225	801	70094
226	804	70120
227	808	70139
228	811	70104
229	816	70141
230	820	70180
231	823	70132
232	826	70096
233	829	70062
234	833	70136
235	837	70153
236	841	70150
237	843	70065
238	848	70138
239	852	70170
240	855	70141
241	859	70185
242	863	70210
243	866	70127
244	869	70097
245	873	70110
246	876	70098
247	880	70135
248	884	70135
249	888	70152
250	892	70186
251	895	70137
252	898	70095
253	901	70100
254	905	70095
255	908	70067
256	912	70091
257	914	70014
258	918	70030
259	921	69942
260	924	69930
261	927	69899
262	932	69956
263	935	69971
264	938	69921
265	942	69911
266	945	69895
267	949	69911
268	952	69867
269	954	69785
270	958	69743
271	961	69767
272	965	69747
273	968	69747
274	972	69727
275	975	69740
276	978	69701
277	982	69702
278	985	69692
279	989	69656
280	992	69646
281	995	69620
282	998	69574
283	1002	69585
284	1006	69604
285	1010	69677
286	1014	69703
287	1018	69714
288	1022	69726
289	1026	69764
290	1031	69834
291	1035	69860
292	1038	69879
293	1042	69846
294	1046	69870
295	1049	69841
296	1053	69862
297	1057	69914
298	1061	69960
299	1066	70029
300	1069	70001
301	1073	70010
302	1077	70045
303	1080	70018
304	1084	70032
305	1087	70013
306	1091	70014
307	1094	70001
308	1098	70018
309	1101	69991
310	1106	70020
311	1109	70005
312	1112	69988
313	1115	69916
314	1118	69901
315	1122	69913
316	1126	69923
317	1129	69935
318	1133	69911
319	1137	69933
320	1141	69964
321	1145	70000
322	1149	70034
323	1153	70029
324	1156	69996
325	1159	69992
326	1162	69933
327	1166	69950
328	1170	69975
329	1174	69991
330	1177	69962
331	1180	69929
332	1184	69948
333	1188	69957
334	1191	69968
335	1195	69989
336	1199	69963
337	1203	69990
338	1206	69975
339	1210	69985
340	1213	69960
341	1217	69970
342	1220	69948
343	1224	69950
344	1227	69942
345	1231	69978
346	1236	70018
347	1240	70033
348	1244	70055
349	1247	70061
350	1251	70080
351	1255	70055
352	1258	70035
353	1261	70000
354	1265	70013
355	1269	70057
356	1273	70068
357	1277	70078
358	1282	70142
359	1285	70117
360	1288	70088
361	1291	70063
362	1294	70033
363	1298	70048
364	1303	70104
365	1307	70145
366	1311	70133
367	1315	70162
368	1318	70132
369	1322	70144
370	1324	70081
371	1328	70106
372	1332	70128
373	1336	70127
374	1339	70112
375	1343	70120
376	1346	70098
377	1350	70126
378	1354	70119
379	1357	70099
380	1361	70083
381	1363	70017
382	1366	69976
383	1369	69942
384	1372	69931
385	1376	69936
386	1380	69956
387	1383	69936
388	1386	69908
389	1389	69883
390	1392	69856
391	1395	69823
392	1399	69804
393	1402	69809
394	1406	69813
395	1410	69806
396	1413	69772
397	1416	69774
398	1419	69737
399	1423	69740
400	1426	69715
401	1429	69711
402	1434	69759
403	1437	69742
404	1441	69731
405	1444	69710
406	1448	69718
407	1452	69737
408	1455	69732
409	1460	69785
410	1464	69800
411	1467	69779
412	1470	69763
413	1474	69779
414	1478	69793
415	1482	69784
416	1486	69806
417	1489	69796
418	1494	69840
419	1498	69837
420	1502	69852
421	1505	69850
422	1508	69822
423	1512	69852
424	1516	69839
425	1519	69837
426	1523	69850
427	1526	69796
428	1530	69826
429	1534	69814
430	1538	69852
431	1541	69828
432	1544	69816
433	1547	69786
434	1552	69806
435	1555	69812
436	1558	69780
437	1563	69810
438	1566	69814
439	1570	69835
440	1574	69825
441	1577	69799
442	1581	69810
443	1585	69845
444	1589	69843
445	1592	69819
446	1597	69861
447	1600	69853
448	1604	69844
449	1607	69826
450	1609	69781
451	1613	69800
452	1617	69802
453	1621	69811
454	1626	69854
455	1630	69877
456	1633	69862
457	1637	69862
458	1640	69851
459	1644	69853
460	1647	69807
461	1650	69791
462	1654	69816
463	1657	69799
464	1661	69816
465	1664	69772
466	1667	69747
467	1671	69762
468	1675	69759
469	1678	69761
470	1681	69728
471	1685	69715
472	1688	69714
473	1692	69737
474	1696	69720
475	1698	69680
476	1702	69665
477	1705	69650
478	1709	69652
479	1712	69647
480	1716	69654
481	1720	69657
482	1724	69690
483	1728	69682
484	1732	69706
485	1736	69714
486	1740	69753
487	1745	69780
488	1749	69798
489	1752	69781
490	1756	69805
491	1760	69817
492	1765	69843
493	1769	69862
494	1772	69848
495	1777	69879
496	1779	69829
497	1782	69814
498	1787	69842
499	1790	69823
500	1794	69823
501	1797	69825
502	1802	69859
503	1806	69874
504	1809	69866
505	1813	69873
506	1816	69854
507	1819	69821
508	1823	69812
509	1826	69796
510	1830	69808
511	1833	69781
512	1837	69786
513	1840	69772
514	1843	69736
515	1847	69755
516	1849	69688
517	1852	69687
518	1856	69703
519	1860	69690
520	1863	69670
521	1866	69659
522	1869	69639
523	1873	69627
524	1876	69610
525	1880	69611
526	1884	69622
527	1889	69665
528	1891	69638
529	1895	69624
530	1899	69641
531	1903	69638
532	1905	69606
533	1908	69566
534	1911	69548
535	1914	69537
536	1917	69492
537	1921	69499
538	1923	69456
539	1926	69443
540	1929	69398
541	1934	69437
542	1937	69438
543	1942	69465
544	1945	69464
545	1948	69442
546	1953	69469
547	1957	69492
548	1960	69474
549	1964	69479
550	1967	69458
551	1971	69471
552	1974	69445
553	1978	69458
554	1982	69463
555	1985	69450
556	1989	69450
557	1993	69442
558	1997	69464
559	2001	69466
560	2005	69490
561	2009	69488
562	2013	69502
563	2015	69468
564	2019	69471
565	2022	69451
566	2026	69443
567	2029	69437
568	2033	69431
569	2037	69441
570	2039	69399
571	2042	69378
572	2045	69335
573	2048	69320
574	2051	69311
575	2054	69294
576	2059	69316
577	2061	69278
578	2066	69306
579	2070	69311
580	2074	69328
581	2077	69315
582	2081	69323
583	2084	69294
584	2086	69251
585	2090	69268
586	2093	69233
587	2098	69269
588	2100	69225
589	2103	69204
590	2107	69218
591	2110	69179
592	2112	69146
593	2117	69167
594	2119	69131
595	2123	69141
596	2126	69121
597	2130	69116
598	2133	69105
599	2137	69106
600	2141	69134
601	2145	69122
602	2148	69124
603	2152	69114
604	2156	69123
605	2158	69078
606	2162	69098
607	2166	69111
608	2171	69136
609	2174	69117
610	2177	69111
611	2181	69104
612	2184	69088
613	2188	69094
614	2191	69081
615	2195	69085
616	2199	69088
617	2203	69111
618	2207	69118
619	2211	69117
620	2214	69119
621	2219	69142
622	2223	69159
623	2227	69161
624	2231	69167
625	2235	69177
626	2238	69164
627	2241	69147
628	2245	69151
629	2249	69169
630	2252	69153
631	2255	69133
632	2260	69154
633	2263	69154
634	2267	69138
